player_id,player_name,domestic_competition_id,current_club_id,club_name,primary_position,nationality,age,birth_year,height_cm,market_value_eur,contract_expires
999001,Lamine Yamal,ES1,131,FC Barcelona,Right Winger,Spain,18,2007,-,200000000,30/06/2031
418560,Erling Haaland,GB1,281,Manchester City,Centre-Forward,Norway,25,2000,-,200000000,30/06/2034
342229,Kylian Mbappé,ES1,131,Real Madrid,Centre-Forward,France,27,1998,180,180000000,30/06/2029
999005,Pedri,ES1,131,FC Barcelona,Central Midfield,Spain,23,2002,-,150000000,-
999006,Michael Olise,L1,27,Bayern Munich,Right Winger,France,24,2001,-,150000000,-
371998,Vinícius Júnior,ES1,131,Real Madrid,Left Winger,Brazil,25,2000,-,140000000,30/06/2027
999007,Vitinha,FR1,583,Paris S-G,Central Midfield,Portugal,26,2000,-,140000000,-
999003,Jude Bellingham,ES1,131,Real Madrid,Attacking Midfield,England,22,2003,-,130000000,30/06/2029
999008,Désiré Doué,FR1,583,Paris S-G,Left Winger,France,20,2005,-,120000000,-
999009,Declan Rice,GB1,11,Arsenal FC,Defensive Midfield,England,27,1999,-,120000000,-
433177,Bukayo Saka,GB1,11,Arsenal FC,Right Winger,England,24,2001,-,110000000,30/06/2027
580195,Florian Wirtz,GB1,31,Liverpool FC,Attacking Midfield,Germany,23,2003,177,100000000,30/06/2030
598577,Jamal Musiala,L1,27,Bayern Munich,Attacking Midfield,Germany,23,2003,184,100000000,30/06/2030
999010,Moisés Caicedo,GB1,631,Chelsea FC,Defensive Midfield,Ecuador,24,2001,-,100000000,-
999011,William Saliba,GB1,11,Arsenal FC,Centre-Back,France,25,2001,-,100000000,-
999012,Julián Alvarez,ES1,13,Atlético Madrid,Centre-Forward,Argentina,26,2000,-,100000000,-
999013,Ousmane Dembélé,FR1,583,Paris S-G,Right Winger,France,29,1997,-,100000000,-
999014,Raphinha,ES1,131,FC Barcelona,Right Winger,Brazil,29,1996,-,93040000,-
406625,Lautaro Martínez,IT1,46,Inter Milan,Centre-Forward,Argentina,28,1997,175,85000000,30/06/2029
999002,Nico Paz,IT1,1047,Como 1907,Attacking Midfield,Argentina,21,2004,-,80000000,30/06/2028
810092,Warren Zaïre-Emery,FR1,583,Paris S-G,Central Midfield,France,20,2006,178,80000000,30/06/2029
1056993,Estêvão,GB1,631,Chelsea FC,Right Winger,Brazil,19,2007,178,80000000,30/06/2033
999015,Rodrygo,ES1,131,Real Madrid,Right Winger,Brazil,25,2001,-,80000000,-
708265,Bradley Barcola,FR1,583,Paris S-G,Left Winger,France,23,2002,182,70000000,30/06/2028
999016,Phil Foden,GB1,281,Manchester City,Attacking Midfield,England,26,2000,-,70000000,-
999004,João Neves,FR1,583,Paris S-G,Central Midfield,Portugal,21,2004,-,60000000,30/06/2028
423440,Martín Zubimendi,GB1,11,Arsenal FC,Defensive Midfield,Spain,26,1999,-,60000000,-
479999,Eberechi Eze,GB1,11,Arsenal FC,Attacking Midfield,England,27,1998,-,55000000,-
325443,Viktor Gyökeres,GB1,11,Arsenal FC,Centre-Forward,Sweden,27,1998,-,75000000,-
357164,Rafael Leão,IT1,5,AC Milan,Left Winger,Portugal,26,1999,-,50000000,30/06/2028
999017,Rodri,GB1,281,Manchester City,Defensive Midfield,Spain,29,1996,-,50000000,-
503987,Noni Madueke,GB1,11,Arsenal FC,Right Winger,England,23,2002,-,40000000,-
646750,Cristhian Mosquera,GB1,11,Arsenal FC,Centre-Back,Spain,21,2004,-,30000000,-
708266,Thiago Almada,BRA1,537,Botafogo,Attacking Midfield,Argentina,25,2001,-,27000000,30/06/2028
708267,Luiz Henrique,BRA1,537,Botafogo,Right Winger,Brazil,25,2001,-,20000000,30/06/2028
580196,Pedro,IT1,398,S.S. Lazio,Winger,Spain,38,1987,-,1000000,30/06/2026
379,Burgui,ES1,368,Alavés,Left Winger,Spain,23,1993,186,1800000,-
2530,Raphaël Varane,ES1,131,Real Madrid,Centre-Back,France,24,1993,191,70000000,-
